,x1,y1,x2,y2,displacement
0,74.0,74.6,66.57142857142857,96.57142857142857,23.19326080866543
1,73.66666666666667,74.5,67.0,98.5,24.908722256359205
2,72.4,74.6,67.0,99.0,24.990398156091878
3,72.0,75.71428571428571,67.0,98.5,23.327854069978326
4,72.0,74.5,67.0,98.0,24.026027553467927
5,73.5,74.5,68.0,96.5,22.677080940897135
6,73.66666666666667,74.66666666666667,68.0,97.5,23.525990355821836
7,72.6,74.4,68.0,96.5,22.57365721366389
8,72.6,74.4,67.25,97.0,23.224609792201026
9,73.66666666666667,74.5,67.6,96.6,22.91755755844074
10,74.0,74.6,67.33333333333333,98.0,24.331141453792192
11,74.2,75.0,67.2,97.6,23.659247663440183
12,72.0,74.33333333333333,68.0,97.5,23.509454362967354
13,73.5,74.83333333333333,68.0,98.0,23.810595213989185
14,73.5,74.66666666666667,67.33333333333333,97.16666666666667,23.329761631396448
15,74.0,75.2,67.0,98.5,24.328789530101982
16,74.0,74.8,67.28571428571429,97.71428571428571,23.877732774469592
17,74.0,75.2,68.0,96.5,22.128940327092028
18,72.66666666666667,74.83333333333333,67.0,98.5,24.335616331258645
19,73.66666666666667,74.83333333333333,67.0,99.5,25.551690528982405
20,72.5,75.0,67.0,98.0,23.648467180770936
21,72.75,74.75,68.0,96.5,22.262636860893185
22,73.28571428571429,74.42857142857143,66.55555555555556,98.0,24.513410236666193
23,73.14285714285714,74.71428571428571,66.16666666666667,99.5,25.748764362841804
24,72.14285714285714,74.57142857142857,67.0,98.5,24.474997654833018
25,74.0,75.66666666666667,67.0,99.5,24.840043836067956
26,72.42857142857143,73.71428571428571,66.66666666666667,99.5,26.42163143543091
27,73.0,75.0,67.0,98.0,23.769728648009426
28,73.5,75.0,66.83333333333333,99.5,25.390833866662284
