,0,1,frame,clusterNum
3,67,100,14,2
4,68,94,14,2
5,68,95,14,2
0,67,97,15,2
1,67,98,15,2
2,67,99,15,2
3,67,100,15,2
0,67,97,16,2
1,67,98,16,2
2,67,99,16,2
3,67,100,16,2
4,67,101,16,2
5,68,94,16,2
6,68,95,16,2
0,68,94,17,2
1,68,95,17,2
2,68,96,17,2
3,68,97,17,2
4,68,98,17,2
5,68,99,17,2
0,67,97,18,2
1,67,98,18,2
2,67,99,18,2
3,67,100,18,2
0,67,97,19,2
1,67,98,19,2
2,67,99,19,2
3,67,100,19,2
4,67,101,19,2
5,67,102,19,2
0,67,97,20,2
1,67,98,20,2
2,67,99,20,2
0,68,94,21,2
1,68,95,21,2
2,68,96,21,2
3,68,97,21,2
4,68,98,21,2
5,68,99,21,2
0,66,94,22,2
1,66,95,22,2
2,66,96,22,2
3,66,97,22,2
4,67,98,22,2
5,67,99,22,2
6,67,100,22,2
7,67,101,22,2
8,67,102,22,2
0,66,98,23,2
1,66,99,23,2
2,66,100,23,2
3,66,101,23,2
4,66,102,23,2
5,67,97,23,2
0,67,97,24,2
1,67,98,24,2
2,67,99,24,2
3,67,100,24,2
0,67,97,25,2
1,67,98,25,2
2,67,99,25,2
3,67,100,25,2
4,67,101,25,2
5,67,102,25,2
0,66,99,26,2
1,66,100,26,2
2,67,97,26,2
3,67,98,26,2
4,67,101,26,2
5,67,102,26,2
0,67,97,27,2
1,67,98,27,2
2,67,99,27,2
0,66,97,28,2
1,67,98,28,2
2,67,99,28,2
3,67,100,28,2
4,67,101,28,2
5,67,102,28,2
0,67,97,29,2
1,67,98,29,2
2,67,99,29,2
3,67,100,29,2
4,67,101,29,2
12,72,76,0,3
13,73,75,0,3
14,74,74,0,3
15,75,74,0,3
16,76,74,0,3
9,72,75,1,3
10,72,76,1,3
11,73,74,1,3
12,74,74,1,3
13,75,74,1,3
14,76,74,1,3
12,71,76,2,3
13,72,74,2,3
14,72,75,2,3
15,73,74,2,3
16,74,74,2,3
10,69,76,3,3
12,70,76,3,3
13,71,76,3,3
14,72,76,3,3
15,73,76,3,3
16,74,75,3,3
17,75,75,3,3
7,71,74,4,3
8,71,75,4,3
9,71,76,4,3
10,72,74,4,3
11,73,74,4,3
12,74,74,4,3
6,73,75,5,3
7,73,76,5,3
8,74,73,5,3
9,74,74,5,3
4,72,75,6,3
5,72,76,6,3
6,73,75,6,3
7,74,74,6,3
8,75,74,6,3
9,76,74,6,3
6,72,74,7,3
7,72,75,7,3
8,72,76,7,3
9,73,74,7,3
10,74,73,7,3
5,72,74,8,3
6,72,75,8,3
7,72,76,8,3
8,73,74,8,3
9,74,73,8,3
6,72,75,9,3
7,72,76,9,3
8,73,74,9,3
9,74,74,9,3
10,75,74,9,3
11,76,74,9,3
3,72,76,10,3
4,73,75,10,3
5,74,74,10,3
6,75,74,10,3
7,76,74,10,3
5,73,75,11,3
6,73,76,11,3
7,74,75,11,3
8,75,75,11,3
9,76,74,11,3
5,71,74,12,3
6,71,75,12,3
7,71,76,12,3
8,72,74,12,3
9,73,74,12,3
10,74,73,12,3
3,71,76,13,3
4,72,75,13,3
5,73,75,13,3
6,74,75,13,3
7,75,74,13,3
8,76,74,13,3
6,71,76,14,3
7,72,75,14,3
8,73,75,14,3
9,74,74,14,3
10,75,74,14,3
11,76,74,14,3
4,72,76,15,3
5,73,76,15,3
6,74,75,15,3
7,75,75,15,3
8,76,74,15,3
7,72,76,16,3
8,73,75,16,3
9,74,75,16,3
10,75,74,16,3
11,76,74,16,3
6,72,76,17,3
7,73,76,17,3
8,74,75,17,3
9,75,75,17,3
10,76,74,17,3
5,71,75,18,3
6,71,76,18,3
7,72,75,18,3
8,73,75,18,3
9,74,74,18,3
10,75,74,18,3
6,72,75,19,3
7,72,76,19,3
8,73,75,19,3
9,74,75,19,3
10,75,74,19,3
11,76,74,19,3
3,70,76,20,3
4,71,76,20,3
5,72,75,20,3
6,73,75,20,3
7,74,74,20,3
8,75,74,20,3
6,72,75,21,3
7,72,76,21,3
8,73,74,21,3
9,74,74,21,3
10,71,75,22,3
11,72,74,22,3
12,72,76,22,3
13,73,74,22,3
14,74,74,22,3
15,75,74,22,3
16,76,74,22,3
6,71,75,23,3
7,71,76,23,3
8,72,75,23,3
9,73,75,23,3
10,74,74,23,3
11,75,74,23,3
12,76,74,23,3
4,70,75,24,3
5,70,76,24,3
6,71,75,24,3
7,72,74,24,3
8,73,74,24,3
9,74,74,24,3
10,75,74,24,3
6,73,76,25,3
7,74,76,25,3
8,75,75,25,3
6,71,74,26,3
7,71,75,26,3
8,71,76,26,3
9,72,73,26,3
10,73,73,26,3
11,74,73,26,3
12,75,72,26,3
3,71,76,27,3
4,72,76,27,3
5,73,75,27,3
6,74,74,27,3
7,75,74,27,3
6,71,76,28,3
7,72,76,28,3
8,73,75,28,3
9,74,75,28,3
10,75,74,28,3
11,76,74,28,3
5,71,76,29,3
6,72,76,29,3
7,73,76,29,3
8,74,75,29,3
